,Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
3728,DS9,SAOImage DS9,0,"( http:&#x2F;&#x2F;cxc.harvard.edu&#x2F;ciao&#x2F; ) and <em>DS9</em>-Funtools ( http:&#x2F;&#x2F;head-cfa.harvard.edu&#x2F;RD ) astronomical software to analyse the data has made use of SAOImage <em>DS9,</em> developed by Smithsonian Astrophysical Observatory and of the NASA",True,2008A&A...484..195T,2008arXiv0804.0351T,XMM|Chandra,Astronomy and Astrophysics,2008arXiv0804.0351T|10.1051/0004-6361:200809487|2008A&A...484..195T|10.1051/0004-6361:200809487|arXiv:0804.0351|2008arXiv0804.0351T,10.1051/0004-6361:200809487,2008,2008-06-00,"Trinchieri, G.",Detection of a hot intergalactic medium in the spiral-only compact group SCG0018-4854
3729,DS9,SAOImage DS9,0,"the astronomy community include the <em>DS9</em> image display tool1 , the PGPLOT programming library2 , and third – to the underlying graphics system using 1 <em>DS9</em> – http:&#x2F;&#x2F;hea-www.harvard.edu&#x2F;RD&#x2F;ds9 – http",False,2006PASA...23...82B,2006astro.ph..8245B,,Publications of the Astronomical Society of Australia,2006astro.ph..8245B|2006PASA...23...82B|10.1071/AS06009|arXiv:astro-ph/0608245|10.1071/AS06009|2006astro.ph..8245B,10.1071/AS06009,2006,2006-07-00,"Barnes, David G.","An Advanced, Three-Dimensional Plotting Library for Astronomy"
3730,DS9,SAOImage DS9,0,"The presented suite goes beyond the common preview tools [SAOImage <em>DS9</em>,12 Karma,13 Cube Analysis and Rendering Tool “SAOImage <em>DS9</em>,” http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html. 13. R. Gooch, “Karma: a visualization test",False,2018JATIS...4b8001B,,,"Journal of Astronomical Telescopes, Instruments, and Systems",2018JATIS...4b8001B|10.1117/1.JATIS.4.2.028001|10.1117/1.JATIS.4.2.028001,10.1117/1.JATIS.4.2.028001,2018,2018-04-00,"Burkutean, Sandra",KAFE: the Key-analysis Automated FITS-images Explorer
3731,DS9,SAOImage DS9,0,to SAOImage <em>DS9</em> (Smithsonian Astrophysical Observatory 2000).7 7 SAOImage <em>DS9</em> has been made possible by,True,2017AJ....153...77C,2017arXiv170104817C,,The Astronomical Journal,2017arXiv170104817C|2017AJ....153...77C|10.3847/1538-3881/153/2/77|arXiv:1701.04817|2017arXiv170104817C|10.3847/1538-3881/153/2/77,10.3847/1538-3881/153/2/77,2017,2017-02-00,"Collins, Karen A.",AstroImageJ: Image Processing and Photometric Extraction for Ultra-precise Astronomical Light Curves
3732,DS9,SAOImage DS9,0,"with a Gaussian of kernel radius = 3, in the astronomical imaging and data visualization application, <em>DS9.</em> option in <em>DS9</em> to estimate the counts along with the error in counts. The HRs and errors were estimated",False,2012AJ....143...78K,2012arXiv1201.4175K,Chandra|HST,The Astronomical Journal,2012arXiv1201.4175K|2012AJ....143...78K|10.1088/0004-6256/143/4/78|arXiv:1201.4175|10.1088/0004-6256/143/4/78|2012arXiv1201.4175K,10.1088/0004-6256/143/4/78,2012,2012-04-00,"Kharb, P.",Examining the Radio-loud/Radio-quiet Dichotomy with New Chandra and VLA Observations of 13 UGC Galaxies
3733,DS9,SAOImage DS9,0,package: https:&#x2F;&#x2F;www.astro.rug.nl&#x2F;#x0007E;gipsy. and SAOImage <em>DS9</em> 7 7 http reading a FITS cube into SAOImage <em>DS9</em> and exporting directly as an MPEG18 18 http,False,2017PASP..129e8009F,2017arXiv170204829F,,Publications of the Astronomical Society of the Pacific,2017arXiv170204829F|2017PASP..129e8009F|10.1088/1538-3873/aa5385|10.1088/1538-3873/aa5385|2017arXiv170204829F|arXiv:1702.04829,10.1088/1538-3873/aa5385,2017,2017-05-00,"Fluke, C. J.",Sports Stars: Analyzing the Performance of Astronomers at Visualization-based Discovery
3734,DS9,SAOImage DS9,0,"used graphics file formats. Almost all of the scaling options available in the wellknown <em>DS9</em> program (see Joye using the fiinfo utility (see Section 3.3) and the wellknown zscale intensity scaling algorithm (see <em>DS9,</em> Joye",True,2012MNRAS.421.1825P,2011arXiv1111.1998P|2012MNRAS.tmp.2555P,,Monthly Notices of the Royal Astronomical Society,2011arXiv1111.1998P|2012MNRAS.tmp.2555P|2012MNRAS.421.1825P|10.1111/j.1365-2966.2011.19813.x|arXiv:1111.1998|10.1111/j.1365-2966.2011.19813.x|2011arXiv1111.1998P|2012MNRAS.tmp.2555P,10.1111/j.1365-2966.2011.19813.x,2012,2012-04-00,"Pál, András.",FITSH- a software package for image processing
3735,DS9,SAOImage DS9,0,-to-noise to be usable for the calculation of positional offsets. The downloaded images are displayed automatically using <em>DS9.</em> Most,False,2004MNSSA..63...28G,,,Monthly Notes of the Astronomical Society of South Africa,2004MNSSA..63...28G,,2004,2004-00-00,"Glass, I. S.",A new 3.6 mu-m camera and a test survey of the Galactic Centre.
3736,DS9,SAOImage DS9,0,"manager • GIMP, an open-source alternative to Photoshop. • The astronomical image viewers Aladin, <em>DS9</em>",False,2012SASS...31..203B,,,Society for Astronomical Sciences Annual Symposium,2012SASS...31..203B,,2012,2012-05-00,"Beaver, John",A Virtual Astronomical Research Machine in No Time (VARMiNT)
3737,DS9,SAOImage DS9,0,"the Infrared Space Observatory (Vigroux et al. 1996; Mirabel et al. 1998) Using the software packages <em>DS9,</em> CIA",True,2002ASPC..262..163C,2002heus.conf..163C,,The High Energy Universe at Sharp Focus: Chandra Science,2002heus.conf..163C|2002ASPC..262..163C|2002heus.conf..163C,,2002,2002-01-00,"Campbell, G.",A Multi-wavelength Analysis of NGC 4038/9
